drug,sentence,title,doi,in-vitro evidence
angiotensin,"["" 'the binding of the sars - cov - 2 spike to angiotensin - converting enzyme 2 ( ace2 )  promotes virus entry into the cell.""]",Biosynthetic proteins targeting the SARS-CoV-2 spike as anti-virals.,10.1371/journal.ppat.1010799,"[['1 nm affinities and ec50 of 8 - 18 nm for neutralization of sars - cov - 2.', ' furthermore ,  f9 - c2 and or c2 - foldon effectively neutralized sars - cov - 2 variants ( including delta and omicron variants )  with ec50 values ranging from 13 to 32 nm.']]"
nitrogen,"["" in the nirmatrelvir - bound simulations ,  the nonnative h - bond is correlated with the loss of an important h - bond between glu166 and nirmatrelvir's lactam nitrogen at p1 position.""]",H172Y mutation perturbs the S1 pocket and nirmatrelvir binding of SARS-CoV-2 main protease through a nonnative hydrogen bond.,10.21203/rs.3.rs-1915291/v1,"[[' here we report the molecular dynamics ( md )  simulations as well as the measurements of stability ,  enzyme kinetics of h172y mpro ,  and ic50 value of nir -  matrelvir.']]"
hydrogen,"[' intriguingly ,  a native hydrogen bond ( h - bond )  between phe140 and the n terminus is replaced by a transient h -  bond between phe140 and tyr172.']",H172Y mutation perturbs the S1 pocket and nirmatrelvir binding of SARS-CoV-2 main protease through a nonnative hydrogen bond.,10.21203/rs.3.rs-1915291/v1,"[[' here we report the molecular dynamics ( md )  simulations as well as the measurements of stability ,  enzyme kinetics of h172y mpro ,  and ic50 value of nir -  matrelvir.']]"
nitrogen,"[' in the nirmatrelvir - bound simulations ,  the nonnative h - bond is correlated with the loss of an important h - bond between glu166 and nirmatrelvirs lactam nitrogen at p1 position.']",'H172Y mutation perturbs the S1 pocket and nirmatrelvir binding of SARS CoV-2 main protease through a nonnative hydrogen bond','10.1101/2022.07.31.502215',"[[' here we report the molecular dynamics ( md )  simulations as well as the measurements of stability ,  enzyme kinetics of h172y mpro ,  and ic50 value of nirmatrelvir.']]"
hydrogen,"[' intriguingly ,  a native hydrogen bond ( h - bond )  between phe140 and the n terminus is replaced by a transient h - bond between phe140 and tyr172.']",'H172Y mutation perturbs the S1 pocket and nirmatrelvir binding of SARS CoV-2 main protease through a nonnative hydrogen bond','10.1101/2022.07.31.502215',"[[' here we report the molecular dynamics ( md )  simulations as well as the measurements of stability ,  enzyme kinetics of h172y mpro ,  and ic50 value of nirmatrelvir.']]"
angiotensin,"["" 'sars - cov2 entry is mediated by binding of viral spike - protein( s )  to the transmembrane angiotensin - converting enzyme - 2 ( ace2 )  of the host cell."", ' however ,  ace2 cannot be blocked since its normal function is to convert the angiotensin ii peptide to angiotensin( 1 - 7 )  to reduce hypertension.']",'Recombinant Human ACE2-Fc : A promising therapy for SARS-CoV2 infection','10.1101/2022.07.30.501940',"[[' while maintaining its enzymatic activity ,  the molecule trapped and neutralized sars cov2 virus in vitro with an ic50 of 64 nm.']]"
honokiol,"[' honokiol is a small molecule from magnolia trees ,  for which several biological effects have been reported ,  ,  including anticancer and anti - inflammatory activity.', ' honokiol has also been shown to inhibit several viruses in cell culture.', ' in this study ,  we show that honokiol protected vero e6 cells from sars - cov - 2 - mediated cytopathic effect with an ec50 of 7.', ' in viral load reduction assays we observed that honokiol decreased viral rna copies as well as viral infectious progeny titers.', ' a time - of - addition assay showed that honokiol inhibited virus replication even when added post infection ,  suggesting it acts at a post - entry step of the replication cycle.', ' honokiol was also effective against more recent variants of sars - cov - 2 ,  including omicron and it inhibited other human coronaviruses as well.', ' our study suggests that honokiol is an interesting molecule to evaluate in animal studies and clinical trials to investigate its effect on virus replication and pathogenic ( inflammatory )  host responses.']",'Honokiol inhibits SARS-CoV-2 replication in cell culture','10.1101/2022.07.26.501656',"[[' in this study ,  we show that honokiol protected vero e6 cells from sars - cov - 2 - mediated cytopathic effect with an ec50 of 7.8 {micro}m.']]"
nystatin,"["" 'backgroundthere has been much speculation that polyene macrolide antibiotics ,  such as amphotericin b ( amb )  and nystatin ( nys )  may have antiviral activity against several viruses including sars - cov - 2.""]",'Determining the antiviral activity of two polyene macrolide antibiotics following treatment in Kidney Cells infected with SARS-CoV-2','10.1101/2022.07.23.501242',"[['  results and conclusionsamphotericin b ( amb )  showed a significant reduction in the tcid50 titer ,  with the 50% effective concentration ( ec50 )  of 1.24 {micro}m ,  which was 2.5 times lower than the cytotoxicity concentration.', ' in addition ,  when measuring viral inhibition by immunoassay ,  amb was significantly more potent than remdesivir ( ec50 31.8 nm vs.']]"
remdesivir,"[' in a second study ,  amb and remdesivir were incubated in kidney cells infected with the virus and inhibition of the virus was determined by an immunoassay.', ' in addition ,  when measuring viral inhibition by immunoassay ,  amb was significantly more potent than remdesivir ( ec50 31.']",'Determining the antiviral activity of two polyene macrolide antibiotics following treatment in Kidney Cells infected with SARS-CoV-2','10.1101/2022.07.23.501242',"[['  results and conclusionsamphotericin b ( amb )  showed a significant reduction in the tcid50 titer ,  with the 50% effective concentration ( ec50 )  of 1.24 {micro}m ,  which was 2.5 times lower than the cytotoxicity concentration.', ' in addition ,  when measuring viral inhibition by immunoassay ,  amb was significantly more potent than remdesivir ( ec50 31.8 nm vs.']]"
irbesartan,"['  methodsa serial dilution of amb ,  nys ,  and irbesartan ( a drug known to bind to the ace - 2 receptor as a positive control )  were then added ( n=4 at each concentration )  to the infected vero76 kidney cells in 100 {micro}l media.', ' nys and irbesartan both exhibited substantially less active and would not be considered a suitable choice for further investigations.']",'Determining the antiviral activity of two polyene macrolide antibiotics following treatment in Kidney Cells infected with SARS-CoV-2','10.1101/2022.07.23.501242',"[['  results and conclusionsamphotericin b ( amb )  showed a significant reduction in the tcid50 titer ,  with the 50% effective concentration ( ec50 )  of 1.24 {micro}m ,  which was 2.5 times lower than the cytotoxicity concentration.', ' in addition ,  when measuring viral inhibition by immunoassay ,  amb was significantly more potent than remdesivir ( ec50 31.8 nm vs.']]"
