Drug name,DOI,Assay,Value,Units,Correlation
Angiotensin,10.1101/2022.05.10.491295,EC50,8, nm,indirect
Papain,10.25417/uic.19719751.v1,IC50,3,,indirect
Angiotensin,10.1101/2022.04.26.489529,IC50,0.1,micro,indirect
Remdesivir,10.1101/2022.02.09.479840,EC50,0.31,,indirect
Remdesivir,10.1101/2022.02.07.479493,EC50,50,,indirect
Papain,10.1101/2022.01.05.475095,IC50,0.41,micro,indirect
Boceprevir,10.1101/2021.12.18.473330,EC50,1, um,indirect
Glycine,10.1101/2021.12.18.473330,EC50,1, um,indirect
Threonine,10.1101/2021.12.18.473330,EC50,1, um,indirect
Alanine,10.1101/2021.12.18.473330,EC50,1, um,indirect
Carbamide,10.1101/2021.12.18.473330,EC50,1, um,indirect
Tyrosine,10.1101/2021.12.16.472155,IC50,0.79, um,direct
Vandetanib,10.1101/2021.12.16.472155,IC50,0.79, um,direct
Remdesivir,10.1101/2021.12.16.472155,IC50,0.79, um,indirect
Baricitinib,10.1101/2021.12.16.472155,IC50,0.79, um,indirect
Dexamethasone,10.1101/2021.12.16.472155,IC50,0.79, um,indirect
Merimepodib,10.1101/2021.12.18.473303,IC50,4,micro,direct
Threonine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect
Cysteine,10.1101/2021.12.18.473326,IC50,4.8, nm,indirect
Carbon,10.1101/2021.12.18.473326,IC50,3,,direct
Remdesivir,10.1101/2021.12.03.471068,IC50,0.37, um,direct
Tropifexor,10.1101/2021.12.02.471030,EC50,4.03,micro,direct
Papain,10.1101/2021.12.02.471030,EC50,4.03,micro,indirect
Angiotensin,10.1101/2021.11.24.469776,IC50,sub - nanomolar ic50,,indirect
Ivermectin,10.1101/2021.11.01.466865,EC50,1,,direct
Selamectin,10.1101/2021.11.01.466865,EC50,2,,direct
Moxidectin,10.1101/2021.11.01.466865,EC50,2,,direct
Remdesivir,10.1101/2021.11.03.467186,EC50,4.1,,indirect
Ribose,10.1101/2021.11.03.467186,EC50,4.1,,indirect
Galactose,10.1101/2021.10.27.466067,EC50,0.9,,indirect
Rhamnose,10.1101/2021.10.27.466067,EC50,0.9,,indirect
Pectin,10.1101/2021.10.27.466067,EC50,0.9,,indirect
Melittin,10.1101/2021.10.21.465254,EC50,1.571,,direct
Gramicidin,10.1101/2021.10.21.465254,EC50,1.571,,direct
Pyronaridine,10.1101/2021.09.30.462449,IC50,1.8,micro,direct
Remdesivir,10.1101/2021.09.30.462449,IC50,1.8,micro,indirect
Disulfiram,10.1101/2021.09.17.460613,EC50,154, nm,direct
Copper,10.1101/2021.09.17.460613,EC50,154, nm,indirect
Artemisinin,10.1101/2021.09.08.459260,IC50,0.3,,direct
Water,10.1101/2021.09.08.459260,IC50,0.3,,indirect
Remdesivir,10.1101/2021.09.07.459230,IC50,0.15,micro,direct
Hydrogen,10.1101/2021.09.06.459055,IC50,0.41,,indirect
Leucine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect
Glutamine,10.1101/2021.08.23.457419,EC50,in the low micromolar range,,indirect
Angiotensin,10.1101/2021.08.10.455627,IC50,2022,,indirect
Angiotensin,10.1101/2021.08.05.21261616,IC50,0.83,,indirect
Mefloquine,10.1101/2021.07.21.451321,EC50,1.2, um,direct
Hydroxychloroquine,10.1101/2021.07.21.451321,EC50,1.2, um,indirect
Chloroquine,10.1101/2021.07.21.451321,EC50,1.2, um,indirect
Kaempferol,10.1101/2021.07.01.450756,IC50,0.125, um,indirect
Dihydromyricetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect
Rutin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect
Isoquercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect
Quercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect
Dihydroquercetin,10.1101/2021.07.01.450756,IC50,0.125, um,indirect
Remdesivir,10.1101/2021.07.03.450938,IC50,9.3,,direct
Ebselen,10.1101/2021.06.08.447613,EC50,1, um,indirect
Boceprevir,10.1101/2021.06.08.447613,EC50,1, um,indirect
Bepridil,10.1101/2021.06.08.447613,EC50,1, um,indirect
Hydroxychloroquine,10.1101/2021.06.08.447613,EC50,1, um,indirect
Chloroquine,10.1101/2021.06.08.447613,EC50,1, um,indirect
Papain,10.1101/2021.06.04.447160,IC50,60, um,indirect
Cysteine,10.1101/2021.06.04.447160,IC50,60, um,indirect
Angiotensin,10.1101/2021.06.04.447130,IC50,15,,indirect
Angiotensin,10.1101/2021.05.17.444533,IC50,0.4,,indirect
Camostat,10.1101/2021.05.06.442935,EC50,430, nm,indirect
Serine,10.1101/2021.05.06.442935,EC50,430, nm,indirect
Hopeaphenol,10.1101/2021.04.29.442010,IC50,0.11, um,direct
Resveratrol,10.1101/2021.04.29.442010,IC50,0.11, um,indirect
Remdesivir,10.1101/2021.04.02.438204,IC50,1, um,indirect
Galidesivir,10.1101/2021.03.25.436935,IC50,1,,direct
Remdesivir,10.1101/2021.03.25.436935,IC50,1,,indirect
Favipiravir,10.1101/2021.03.25.436935,IC50,1,,indirect
Diclazuril,10.1101/2021.03.19.435806,IC50,29,,direct
Sunitinib,10.1101/2021.03.19.435806,IC50,29,,indirect
Tyrosine,10.1101/2021.03.19.435806,IC50,29,,indirect
Pazopanib,10.1101/2021.03.19.435806,IC50,29,,indirect
Remdesivir,10.1101/2021.03.19.435806,IC50,29,,indirect
Chymotrypsin,10.1101/2021.03.19.435806,IC50,29,,indirect
Lenvatinib,10.1101/2021.03.19.435806,IC50,29,,indirect
Papain,10.1101/2021.03.15.435551,EC50,8.89,micro,indirect
Remdesivir,10.1101/2021.03.02.433604,IC50,1.5,micro,direct
Rottlerin,10.1101/2021.03.02.433618,IC50,37,,direct
Proline,10.1101/2021.02.17.431647,IC50,1,,indirect
Lysine,10.1101/2021.02.19.424337,IC50,70, nm,direct
Guanosine,10.1101/2021.02.19.424337,IC50,70, nm,indirect
Papain,10.1101/2021.02.13.431008,IC50,10,micro,indirect
Cysteine,10.1101/2021.02.13.431008,IC50,10,micro,indirect
Cotton,10.1101/2021.01.17.426875,EC50,100, nm,indirect
Glucose,10.1101/2021.01.14.426521,EC50,2.01,,indirect
