drug_name,mechanism_of_action,experimental_activity,experimental_pharmacology_system,method,parameter,PX,mean,unit,smiles
Oseltamivir carboxylate,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,Fluorescent assay,IC-50,12.69897,2E-13,M,CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O |c:7|
Presatovir,Respiratory Syncytial Virus (RSV) Fusion Inhibitors;Viral Fusion Inhibitors,"Infection, respiratory syncytial virus (RSV) remission/reduction, IN VITRO",IN VITRO,Cytopathicity assay,IC-50,11.74472749,1.8E-12,M,Cc1cn2nc(cc2nc1N1CC[C@H](N)C1)[C@@H]1CCCCN1C(=O)c1cc(Cl)ccc1NS(C)(=O)=O
Brincidofovir,DNA Polymerase Inhibitors,"Infection, cytomegalovirus remission/reduction, IN VITRO",IN VITRO,DNA assay,IC-50,11.69897,2E-12,M,"CCCCCCCCCCCCCCCCOCCCOP(O)(=O)CO[C@H](CO)CN1C=CC(N)=NC1=O |c:31,34|"
Sorivudine,DNA Polymerase Inhibitors,"Infection, varicella zoster virus remission/reduction, IN VITRO",IN VITRO,Plaque assay,IC-50,10.61978876,2.4E-11,M,OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N1C=C(\\C=C\\Br)C(=O)NC1=O |t:11|
Peramivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,4-Methylumbelliferyl-N-acetyl-alpha-D-neuraminic acid as substrate,Ki,10.85387196,1.4E-11,M,[H][C@@]1([C@@H](NC(C)=O)C(CC)CC)[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O
Zanamivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,Chemiluminescent assay,IC-50,10.52287875,3E-11,M,[H][C@]1(OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO |c:3|
Sirolimus,CCR5 Expression Inhibitors;Cytochrome P450 CYP2D6 Inhibitors;Signal Transduction Modulators;Cytochrome P450 CYP2C9 Inhibitors;P-Glycoprotein (MDR-1; ABCB1) Inhibitors;Proteasome Inhibitors;Mammalian Target of Rapamycin (mTOR; FRAP1) Inhibitors;Drugs Targeting B-Lymphocyte Antigen CD19,"Infection, cytomegalovirus remission/reduction, IN VITRO",IN VITRO,Chemiluminescent assay,IC-50,10.39794001,4E-11,M,"CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\\C=C(C)\\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(C)\\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)OC)CC[C@H]1O |c:14,33,t:29,31|"
Peramivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,4-Methylumbelliferyl-N-acetyl-alpha-D-neuraminic acid as substrate,IC-50,10.30103,5E-11,M,[H][C@@]1([C@@H](NC(C)=O)C(CC)CC)[C@H](O)[C@H](C[C@H]1NC(N)=N)C(O)=O
Laninamivir,Neuraminidase (Sialidase) (Influenza Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",IN VITRO,Fluorescent assay,IC-50,9.958607315,1.1E-10,M,[H][C@]1(OC(=C[C@H](NC(N)=N)[C@H]1NC(C)=O)C(O)=O)[C@H](OC)[C@H](O)CO |c:3|
Ribavirin,Inosine 5'-Monophosphate Dehydrogenase (IMPDH) Inhibitors;Equilibrative Nucleoside Transporter ENT1 Inhibitors,"Infection, respiratory syncytial virus (RSV) remission/reduction, IN VITRO",IN VITRO,ELISA assay,IC-50,9.899629455,1.26E-10,M,NC(=O)c1ncn(n1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
drug_name,mechanism_of_action,experimental_activity,experimental_pharmacology_system,method,parameter,PX,mean,unit,smiles
Deferiprone,Chelating Agents;Cytochrome P450 CYP4F2 Inhibitors,"Infection, BK polyomavirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,8.455931956,3.5E-09,M,"CN1C=CC(=O)C(O)=C1C |c:2,7|"
Raltegravir potassium,HIV Integrase Inhibitors,"Infection, xenotropic murine leukemia virus-related virus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,8.301029996,0.000000005,M,"[K+].CN1C(=O)C([O-])=C(N=C1C(C)(C)NC(=O)c1nnc(C)o1)C(=O)NCc1ccc(F)cc1 |c:5,7|"
Verdinexor,"Exportin-1 (CRM1, XPO1) Receptor Antagonists;Signal Transduction Modulators","Infection, JC polyomavirus remission/reduction, IN VITRO",IN VITRO,Viral replication assay,IC-50,8.124938737,7.5E-09,M,
