Drug Name,MOA,Experiments,Method,Measurement,Value,Unit
,Neuraminidase (Sialidase) (Influenza A Virus) Inhibitors,"Neuraminidase (nonspecified subtype) (Influenza A virus) inhibition, IN VITRO",,IC-50,2.10E-14,M
Methotrexate,Dihydrofolate Reductase (DHFR) (Protozoal) Inhibitors;Folate Antagonists;Dihydrofolate Reductase (DHFR) Inhibitors,"Dihydrofolate Reductase (DHFR) inhibition, IN VITRO",Dihydrofolic acid as substrate,Ki,3.40E-12,M
CGS-21680,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Hypertension remission/reduction, IN VITRO",,EC-50,1.00E-10,M
Danshensu Yibingzhi,Antioxidants,"Arteriosclerosis, coronary remission/reduction, IN VITRO",,MEC,1.00E-10,M
REGN-1001,Anti-ANGPTL4 (Angiopoietin-Related Protein 4),"Angiopoietin-Related Protein 4 affinity, IN VITRO",,Kd,1.00E-10,M
"1,25-Dihydroxyvitamin-D3",Signal Transduction Modulators;Vitamin D Receptor (VDR) Agonists,"Cytotoxicity induction, IN VITRO",Thymidine incorporation assay,IC-50,1.10E-10,M
Substance P,Tachykinin NK1 Receptor Ligands;Signal Transduction Modulators,Not Applicable,,IC-50,1.41E-10,M
Binodenoson,Signal Transduction Modulators;Adenosine A2A Receptor Agonists,"Hypertension remission/reduction, IN VITRO",,EC-50,2.00E-10,M
Paricalcitol,Signal Transduction Modulators;Vitamin D Receptor (VDR) Agonists;Parathyroid Hormone Secretion Inhibitors,"Cytotoxicity induction, IN VITRO",Thymidine incorporation assay,IC-50,2.00E-10,M
Zotarolimus,Signal Transduction Modulators;Mammalian Target of Rapamycin (mTOR; FRAP1) Inhibitors,"Cytotoxicity remission/reduction, IN VITRO",Thymidine incorporation assay,IC-50,2.40E-10,M
PD-156707,"Signal Transduction Modulators;Endothelin-1 Receptor (EDNRA, ETAR) Antagonists","Endothelin-1 Receptor (ET-A) affinity, IN VITRO",Displacement of [125I]-endothelin-1,IC-50,4.30E-10,M
Adenosine,Adenosine Receptor Agonists;Signal Transduction Modulators,"Hypertension remission/reduction, IN VITRO",,EC-50,5.00E-10,M
