 Drug Name     , SARS-CoV-2 EC50/IC50(μM) , CC50(μM)  , SI   
 Ouabain  ,<0.097, >50  , >515.5   
 Digoxin  ,0.19, >50  ,256.61
 Digitoxin    ,0.23, >50  ,214.1
 Salinomycin sodium   ,0.24, >50  , >211     
 Niclosamide  ,0.28, >50  ,176.65
Emetine,0.46,56.46,122.74
 Remdesivir   ,0.77, >100     , >129.87  
 Hexachlorophene  ,0.9,19.3,21.55
 Chloroquine  ,1.13, >100     , >88.5    
Nelfinavir,1.13,24.32,21.52
Auranofin,1.5,low toxicity ,N/A
Ivermectin ,2,low toxicity ,N/A
 Proscillaridin   ,2.04, >50  , >24.54   
 Nitazoxanide     ,2.12,35.53, >16.76   
Homoharringtonine,2.55,59.75,23.43
 LDK378   ,2.86,6.84,2.39
 Tetrandrine  ,3,14.92,4.97
 Isoosajin    ,3.22,9.89,3.07
 Osimertinib mesylate     ,3.26,13.23,4.05
 Bazedoxifene     ,3.44,14.97,4.35
 Oxyclozanide     ,3.71, >50  , >13.49   
 Lusutrombopag    ,3.78,14.61,3.87
 Osajin   ,3.87,11.44,2.95
 Dronedarone HCl  ,3.92,8.75,2.23
 Chlorpromazine Hydrochloride     ,4.03,11.88,2.94
 Tilorone     ,4.09,19.67,4.81
 Ciclesonide  ,4.33, >50  , >11.56   
 Cepharanthine    ,4.47, >50  , >11.18   
 Isopomiferin     ,4.51,14.25,3.16
 Anidulafugin     ,4.64, >50  , >10.78   
Ebselen,4.67,low toxicity ,N/A
 Amodiaquin Dihydrochloride Dihydrate     ,4.94,34.42,6.97
 Penfluridol  ,5.01,8.77,1.75
 CVL218   ,5.12,91.05,17.78
 Amodiaquine hydrochloride    ,5.15, >50  , >9.71    
 Imatinib Mesylate    ,5.32, >30.86   , >5.80    
 Fluspirilene     ,5.32,30.33,5.71
 Clomiphene Citrate   ,5.36,15.01,2.8
 Amodiaquin Hydrochloride     ,5.64, >38.63   , >6.84    
 Cyclosporine     ,5.82, >50  , >8.59    
 Hydroxyprogesterone caproate     ,6.3, >50  ,7.93
 Perhexiline maleate  ,6.38,8.67,1.36
 Triparanol   ,6.41,21.21,3.31
 Ivacaftor    ,6.57,12.47,1.9
 Droloxifene((E)-3-Hydroxy tamoxifen)     ,6.6,15.82,2.4
 Abemaciclib  ,6.62, >50  , >7.56    
 Thioridazine hydrochloride   ,6.69,15.96,2.39
 Gilteritinib     ,6.76,37.16,5.5
 Ebastine     ,6.92,15.42,2.23
 Triparanol   ,7.05,14.73,2.09
 Mequitazine  ,7.28,27.34,3.76
 Clomipramine Hydrochloride   ,7.59, >29.68   , >3.91    
 Berbamine hydrochloride  ,7.87, >50  , >6.35    
 Thiethylperazine Maleate     ,8.02,18.37,2.29
 Mefloquine Hydrochloride     ,8.06,18.53,2.3
 Eltrombopag  ,8.27, >50  , >6.05    
Saquinavir,8.83,44.43,5.03
 Fluphenazine Dihydrochloride     ,8.98,20.02,2.23
 Tamoxifen Citrate    ,8.98,37.96,4.23
 Lopinavir    ,9.12, >50  , >5.18    
 Loperamide   ,9.27,29.26,3.16
 Atazanavir   ,9.36, >81  , >8.65    
 Promethazine Hydrochloride   ,10.44, >42.59   , >4.08    
 Hydroxychloroquine Sulfate   ,11.17, >50  , >4.48    
 Toremifene Citrate   ,11.3,20.51,1.81
 N-(2-hydroxypropyl)-3-trimethylammonium 46chitosan  chloride     ,12.5,158,12.6
Tipranavir,13.34,76.8,5.76
 Dihydrogambogic acid     ,13.37,9.85,0.74
 Terconazole Vetranal     ,16.14,41.46,2.57
N3,16.77,>133,>7.93
 Benztropine Mesylate     ,17.79, >50  , >2.81    
 Nafamostat   ,22.5, >100     , >4.44    
 Phenazopyridine  ,28, >50  , >1.79    
Amprenavir,31.32,>81,>2.59
Darunavir ,46.41,>81,>1.75
 Chloroquine Phosphate    ,46.8, >50  , >1.07    
Indinavir,59.14,>81,>1.37
 Favipiravir  ,61.88, >400     , >6.46    
 Penciclovir  ,95.96, >400     , >4.17    
 Ribavirin    ,109.5, >400     , >3.65    
 Camostat     , >50  , >50  , >1   
 Lanatoside C     , >50  , >50  ,1
 Quinacrine hydrochloride     , >50  ,14.71, <0.29    
